"","mean","sd","lci","lqrt","med","uqrt","uci","Rhat","n.eff","overlap0","f","node","j_species","j_sub_region","species","Region"
"67",578.722665165703,1185.33992380472,12.0088354777137,89.3455182684399,239.916048075616,596.773732567714,3243.10064291027,1.0022618213515,9027,0,1,"Nr[16,4]",16,4,"WISN","2.2"
"68",14731.3826404818,17930.1726505534,2004.77566013818,5930.42936199537,10320.0695159398,17997.2175314735,52361.3130734514,1.041287524391,15000,0,1,"Nr[17,4]",17,4,"WRSA","2.2"
"69",113738.415583732,112545.282170619,21158.0949498935,51822.404142809,83574.5951064063,136904.942892658,395254.299265904,1.00754092874507,1765,0,1,"Nr[1,5]",1,5,"AMGP","2.3"
"70",719281.497051439,1740651.02684965,22137.9333231109,117480.251766368,283996.517571008,703237.707871574,4103806.38677474,1.02879827026666,7356,0,1,"Nr[2,5]",2,5,"BASA","2.3"
"71",44514.0179994504,105839.658144216,2098.40179635264,8752.34286862808,18216.3366641735,40928.8440048211,264541.998081628,1.00732340038913,7948,0,1,"Nr[3,5]",3,5,"BBPL","2.3"
"72",24352.494716573,106823.093579849,168.866841841198,1629.05522386225,5003.18280049256,15543.9393651978,158872.828978835,1.0075046298614,15000,0,1,"Nr[4,5]",4,5,"BBSA","2.3"
"73",130237.585847276,208594.60901874,15935.2928227278,44748.6022982113,78174.2895944915,139930.27998983,582823.635471188,1.00135120676793,15000,0,1,"Nr[5,5]",5,5,"DUNL","2.3"
"74",57463.1559253544,228973.005013583,580.041730100628,4669.67190632084,13673.4820097291,42024.4340089762,376473.252108804,1.03737665627285,15000,0,1,"Nr[6,5]",6,5,"LESA","2.3"
"75",155076.794000965,360369.734985873,4113.28381816379,22460.1425785066,55157.691685696,144341.489904458,963213.056089428,1.01110386117934,15000,0,1,"Nr[7,5]",7,5,"PESA","2.3"
"76",14093.579125353,55570.6731272818,70.4601396566214,790.980409263226,2637.73148112254,8886.08730798653,98473.3420087631,1.03309355136195,2722,0,1,"Nr[8,5]",8,5,"REKN","2.3"
"77",67336.6648389659,158956.746708091,3406.32711933258,12966.2025302774,25933.0274974344,59326.5545609598,405080.021585649,1.00558542874709,5608,0,1,"Nr[9,5]",9,5,"REPH","2.3"
"78",58945.6519685216,189349.981642927,396.584604103803,3676.0609390145,11696.769930482,39348.6928134855,439715.024301208,1.00288350515458,15000,0,1,"Nr[10,5]",10,5,"RNPH","2.3"
"79",51640.3957077296,379510.862712651,175.525109879475,1959.82887044036,6725.35796391306,23113.7571131293,327059.717077916,1.06389453714158,8933,0,1,"Nr[11,5]",11,5,"RUTU","2.3"
"80",48612.3751564139,187832.554342563,1424.73890233003,7643.85244836611,18106.069419963,42750.2461692941,271115.518286385,1.1139375182505,15000,0,1,"Nr[12,5]",12,5,"SAND","2.3"
"81",59858.4526521705,214565.557429379,396.901952452098,3884.91468842258,12328.6936404085,41445.4202971642,413820.090503359,1.01701461175093,6562,0,1,"Nr[13,5]",13,5,"SEPL","2.3"
"82",151805.282632865,177918.19070066,28296.8071086356,63504.3055810227,99564.2505011058,172027.638085584,609819.823049454,1.00397556014486,6096,0,1,"Nr[14,5]",14,5,"SESA","2.3"
"83",33315.2212790656,92435.2368859248,437.601182545245,3369.5061267734,9353.93363540568,26992.5206191554,223197.722420827,1.00462477736738,15000,0,1,"Nr[15,5]",15,5,"STSA","2.3"
"84",15814.7471314969,41701.483062311,161.359002879966,1412.95390043751,4143.00349596375,12799.2133572295,110005.483982852,1.00670101861997,15000,0,1,"Nr[16,5]",16,5,"WISN","2.3"
"85",228673.419428872,227397.17524265,46455.1408264105,107058.107737621,168125.879594962,274905.733287853,766572.484216341,1.00626748395418,9089,0,1,"Nr[17,5]",17,5,"WRSA","2.3"
