"","mean","sd","lci","lqrt","med","uqrt","uci","Rhat","n.eff","overlap0","f","node","j_species","habitat","j_sub_region","species","Region"
"377",2988.05673439135,12412.3169457267,5.626121922694,135.568218408023,591.441826487215,2180.49768385918,20445.1165139814,1.02807190547014,3101,0,1,"n[3,2,8]",3,"2",8,"BBPL","4.1"
"378",3200.11099545764,16437.6747311221,2.2512069265783,75.8733027690899,373.433218043757,1689.61576588585,22635.1003344565,1.0472423754209,15000,0,1,"n[4,2,8]",4,"2",8,"BBSA","4.1"
"379",132824.777547223,180703.574521897,10922.6470640467,40818.3256439524,80121.8674931405,155862.425969191,566971.231444864,1.00527849075625,15000,0,1,"n[5,2,8]",5,"2",8,"DUNL","4.1"
"380",4211.34586878658,14430.2375379222,6.57084339136074,164.945440741573,746.804525187438,2948.80934331094,29784.1601311216,1.00653058057419,15000,0,1,"n[6,2,8]",6,"2",8,"LESA","4.1"
"381",37587.9070917863,61733.5194140965,1040.03254990375,7343.37392282865,18078.0241902435,42689.2703767445,194229.900166943,1.00205494680447,15000,0,1,"n[7,2,8]",7,"2",8,"PESA","4.1"
"382",1376.22128543148,5798.44689364684,0.544617109306314,25.5504863095243,155.45549139485,757.858146903726,10341.3471215115,1.04071295478573,15000,0,1,"n[8,2,8]",8,"2",8,"REKN","4.1"
"383",91551.3980935585,99113.8839484833,9493.85232976486,32654.4950808403,61645.7270518817,113879.064509652,355534.396379806,1.00160839050979,15000,0,1,"n[9,2,8]",9,"2",8,"REPH","4.1"
"384",4173.37787803019,14660.6594764232,2.44904355561791,97.4051150827931,549.230202228082,2629.79188260101,32370.7343077549,1.0234724846624,4337,0,1,"n[10,2,8]",10,"2",8,"RNPH","4.1"
"385",64915.611700092,170548.591465564,953.686558761843,7731.24642791837,21562.9252620608,58971.6186142912,392055.210943388,1.00028897443044,15000,0,1,"n[11,2,8]",11,"2",8,"RUTU","4.1"
"386",4787.08262791733,17186.45029256,29.5331543319429,420.312775469594,1305.22660802389,3897.27224569418,29885.1377151604,1.05710507557137,1438,0,1,"n[12,2,8]",12,"2",8,"SAND","4.1"
"387",3831.13568938675,14623.1636510819,3.33014680414792,111.918360626726,561.40022981474,2426.39631357309,27765.6661964547,1.02444345423108,4519,0,1,"n[13,2,8]",13,"2",8,"SEPL","4.1"
"388",313202.237994613,274688.954172965,54938.2037265444,145397.278852588,237166.54299849,389136.623876288,1029743.54524256,1.00048225106065,4536,0,1,"n[14,2,8]",14,"2",8,"SESA","4.1"
"389",3098.05933310901,9367.22627278963,5.75770577268018,151.628522191503,660.876965099658,2457.94836141491,22254.9124127104,1.00467190343488,15000,0,1,"n[15,2,8]",15,"2",8,"STSA","4.1"
"390",875.086692973665,2749.61029298898,1.01607276492852,27.2869515880579,139.54790173895,607.613851050077,6507.31825963671,1.00298349040025,15000,0,1,"n[16,2,8]",16,"2",8,"WISN","4.1"
"391",79629.4066521077,107380.905689439,4734.90374430893,22396.4162543617,46845.6128676975,95899.2925161188,342409.132435936,1.00024749821302,9525,0,1,"n[17,2,8]",17,"2",8,"WRSA","4.1"
"392",20699.9752861939,16925.4040578941,3504.06869799651,9735.60223747257,16113.8673634273,26116.1093350414,64715.9410640316,1.0007431718524,4712,0,1,"n[1,3,8]",1,"3",8,"AMGP","4.1"
"393",3135.32497918378,8069.68508918874,17.1344210890112,272.677397720804,942.874898201554,2893.55140015554,19502.7185876525,1.01004789658121,10099,0,1,"n[2,3,8]",2,"3",8,"BASA","4.1"
"394",4053.18226312083,6327.50198815693,109.864585482042,817.483568823193,2057.62196628844,4753.24354861918,19731.5046937635,1.0029363230896,15000,0,1,"n[3,3,8]",3,"3",8,"BBPL","4.1"
"395",785.916205749973,3626.8939796766,0.799565471249087,28.2968717386196,130.271616623443,533.453047508912,5391.2000164406,1.05826373281408,15000,0,1,"n[4,3,8]",4,"3",8,"BBSA","4.1"
"396",75133.7775096416,59027.5674716122,15638.2065088855,37636.2343657564,59685.4164350017,93379.8143954537,228679.378910627,1.00047553278922,15000,0,1,"n[5,3,8]",5,"3",8,"DUNL","4.1"
"397",1595.92509239992,3957.87317893634,4.22517798742459,102.437517043754,417.382048318753,1431.65532341672,11015.1894199268,1.00766941236319,15000,0,1,"n[6,3,8]",6,"3",8,"LESA","4.1"
"398",3524.49605981254,6130.86975704804,41.1963672411457,502.665177807995,1535.83518292864,4043.45644777628,18928.022233546,1.00694341148843,5288,0,1,"n[7,3,8]",7,"3",8,"PESA","4.1"
"399",464.524873749502,1427.59211261684,0.309816010111033,13.3494392565353,75.3014435915498,340.266679555782,3388.98339835463,1.01093183799545,15000,0,1,"n[8,3,8]",8,"3",8,"REKN","4.1"
"400",167302.813247882,86686.1598440092,57857.4048888652,107329.217022704,148879.225326435,205236.51725424,389676.103649129,1.00096306752671,2479,0,1,"n[9,3,8]",9,"3",8,"REPH","4.1"
"401",1303.50482914297,3310.06706459702,1.79025134592411,60.5746870352684,287.169487921019,1120.66229789135,9242.03672226811,1.00089076928241,15000,0,1,"n[10,3,8]",10,"3",8,"RNPH","4.1"
